分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
從未接觸,我沒參加過 g0v 的活動,20,26,0.7692,0.4841,1.59,,L1（僅供參考）
從未接觸,g0v Summit（兩年一次的高峰會）,2,26,0.0769,0.3175,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,雙月大黑客松（大松）,1,26,0.0385,0.3016,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,各專案的小聚（例如國會松、數位韌性松）,1,26,0.0385,0.2619,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,零時小學校,2,26,0.0769,0.1111,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,其他（自由填答）,1,26,0.0385,0.0159,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
接觸未參與,我沒參加過 g0v 的活動,28,53,0.5283,0.4841,1.09,,L3
接觸未參與,g0v Summit（兩年一次的高峰會）,12,53,0.2264,0.3175,0.71,,L3
接觸未參與,雙月大黑客松（大松）,13,53,0.2453,0.3016,0.81,,L3
接觸未參與,各專案的小聚（例如國會松、數位韌性松）,13,53,0.2453,0.2619,0.94,,L3
接觸未參與,零時小學校,2,53,0.0377,0.1111,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
接觸未參與,其他（自由填答）,0,53,0.0,0.0159,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
曾參與,我沒參加過 g0v 的活動,13,47,0.2766,0.4841,0.57,,L2
曾參與,g0v Summit（兩年一次的高峰會）,26,47,0.5532,0.3175,1.74,,L2
曾參與,雙月大黑客松（大松）,24,47,0.5106,0.3016,1.69,,L2
曾參與,各專案的小聚（例如國會松、數位韌性松）,19,47,0.4043,0.2619,1.54,,L2
曾參與,零時小學校,10,47,0.2128,0.1111,1.91,,L2
曾參與,其他（自由填答）,1,47,0.0213,0.0159,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
