分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
從未接觸,非營利組織（例如：開放文化基金會、地球公民基金會）,11,26,0.4231,0.5906,0.72,,L1（僅供參考）
從未接觸,開源社群（例如：COSCUP、SITCON、g0v）,9,26,0.3462,0.5354,0.65,,L1（僅供參考）
從未接觸,研究單位,5,26,0.1923,0.1969,0.98,,L1（僅供參考）
從未接觸,學校,4,26,0.1538,0.1575,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,我還不熟悉相關資訊管道,9,26,0.3462,0.1102,3.14,,L1（僅供參考）
從未接觸,政府單位,3,26,0.1154,0.0709,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,其他（自由填答）,2,26,0.0769,0.0472,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,企業,0,26,0.0,0.0157,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
接觸未參與,非營利組織（例如：開放文化基金會、地球公民基金會）,34,54,0.6296,0.5906,1.07,,L3
接觸未參與,開源社群（例如：COSCUP、SITCON、g0v）,29,54,0.537,0.5354,1.0,,L3
接觸未參與,研究單位,9,54,0.1667,0.1969,0.85,,L3
接觸未參與,學校,7,54,0.1296,0.1575,0.82,,L3
接觸未參與,我還不熟悉相關資訊管道,3,54,0.0556,0.1102,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
接觸未參與,政府單位,4,54,0.0741,0.0709,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
接觸未參與,其他（自由填答）,3,54,0.0556,0.0472,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
接觸未參與,企業,0,54,0.0,0.0157,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
曾參與,非營利組織（例如：開放文化基金會、地球公民基金會）,30,47,0.6383,0.5906,1.08,,L2
曾參與,開源社群（例如：COSCUP、SITCON、g0v）,30,47,0.6383,0.5354,1.19,,L2
曾參與,研究單位,11,47,0.234,0.1969,1.19,,L2
曾參與,學校,9,47,0.1915,0.1575,1.22,,L2
曾參與,我還不熟悉相關資訊管道,2,47,0.0426,0.1102,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
曾參與,政府單位,2,47,0.0426,0.0709,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
曾參與,其他（自由填答）,1,47,0.0213,0.0472,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
曾參與,企業,2,47,0.0426,0.0157,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
