分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
從未接觸,政府預算、決算與標案（看政府的錢怎麼花）,16,26,0.6154,0.5354,1.15,,L1（僅供參考）
從未接觸,地方發展與地方創生,10,26,0.3846,0.4724,0.81,,L1（僅供參考）
從未接觸,防災與災害應變,12,26,0.4615,0.4252,1.09,,L1（僅供參考）
從未接觸,假訊息與詐騙防治,14,26,0.5385,0.4173,1.29,,L1（僅供參考）
從未接觸,環境汙染與公害,9,26,0.3462,0.3071,1.13,,L1（僅供參考）
從未接觸,法律、立法歷程,10,26,0.3846,0.3071,1.25,,L1（僅供參考）
從未接觸,居住與租屋,8,26,0.3077,0.2992,1.03,,L1（僅供參考）
從未接觸,生態與生物多樣性,6,26,0.2308,0.2913,0.79,,L1（僅供參考）
從未接觸,交通與道路安全,2,26,0.0769,0.2441,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,水環境（河川、海洋）,3,26,0.1154,0.2283,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,健康與醫療,8,26,0.3077,0.2205,1.4,,L1（僅供參考）
從未接觸,土地使用與違章建築,6,26,0.2308,0.2126,1.09,,L1（僅供參考）
從未接觸,教育、親子與兒少青年,5,26,0.1923,0.2047,0.94,,L1（僅供參考）
從未接觸,司法判決資料,4,26,0.1538,0.1732,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,選舉與政見資料,6,26,0.2308,0.1654,1.4,,L1（僅供參考）
從未接觸,語言與溝通（例如台語、點字）,4,26,0.1538,0.1496,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,其他（自由填答）,2,26,0.0769,0.0394,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
接觸未參與,政府預算、決算與標案（看政府的錢怎麼花）,32,54,0.5926,0.5354,1.11,,L3
接觸未參與,地方發展與地方創生,21,54,0.3889,0.4724,0.82,,L3
接觸未參與,防災與災害應變,18,54,0.3333,0.4252,0.78,,L3
接觸未參與,假訊息與詐騙防治,22,54,0.4074,0.4173,0.98,,L3
接觸未參與,環境汙染與公害,17,54,0.3148,0.3071,1.03,,L3
接觸未參與,法律、立法歷程,19,54,0.3519,0.3071,1.15,,L3
接觸未參與,居住與租屋,19,54,0.3519,0.2992,1.18,,L3
接觸未參與,生態與生物多樣性,17,54,0.3148,0.2913,1.08,,L3
接觸未參與,交通與道路安全,16,54,0.2963,0.2441,1.21,,L3
接觸未參與,水環境（河川、海洋）,13,54,0.2407,0.2283,1.05,,L3
接觸未參與,健康與醫療,11,54,0.2037,0.2205,0.92,,L3
接觸未參與,土地使用與違章建築,8,54,0.1481,0.2126,0.7,,L3
接觸未參與,教育、親子與兒少青年,10,54,0.1852,0.2047,0.9,,L3
接觸未參與,司法判決資料,11,54,0.2037,0.1732,1.18,,L3
接觸未參與,選舉與政見資料,9,54,0.1667,0.1654,1.01,,L3
接觸未參與,語言與溝通（例如台語、點字）,9,54,0.1667,0.1496,1.11,,L3
接觸未參與,其他（自由填答）,2,54,0.037,0.0394,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
曾參與,政府預算、決算與標案（看政府的錢怎麼花）,20,47,0.4255,0.5354,0.79,,L2
曾參與,地方發展與地方創生,29,47,0.617,0.4724,1.31,,L2
曾參與,防災與災害應變,24,47,0.5106,0.4252,1.2,,L2
曾參與,假訊息與詐騙防治,17,47,0.3617,0.4173,0.87,,L2
曾參與,環境汙染與公害,13,47,0.2766,0.3071,0.9,,L2
曾參與,法律、立法歷程,10,47,0.2128,0.3071,0.69,,L2
曾參與,居住與租屋,11,47,0.234,0.2992,0.78,,L2
曾參與,生態與生物多樣性,14,47,0.2979,0.2913,1.02,,L2
曾參與,交通與道路安全,13,47,0.2766,0.2441,1.13,,L2
曾參與,水環境（河川、海洋）,13,47,0.2766,0.2283,1.21,,L2
曾參與,健康與醫療,9,47,0.1915,0.2205,0.87,,L2
曾參與,土地使用與違章建築,13,47,0.2766,0.2126,1.3,,L2
曾參與,教育、親子與兒少青年,11,47,0.234,0.2047,1.14,,L2
曾參與,司法判決資料,7,47,0.1489,0.1732,0.86,,L2
曾參與,選舉與政見資料,6,47,0.1277,0.1654,0.77,,L2
曾參與,語言與溝通（例如台語、點字）,6,47,0.1277,0.1496,0.85,,L2
曾參與,其他（自由填答）,1,47,0.0213,0.0394,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
