困難,1分_幾乎沒影響,2分_有點困擾但還能處理,3分_明顯卡住我、拖慢進度,4分_受挫到萌生退意,5分_困擾到專案無法持續,合計,3分以上_合計,3分以上_比例,4分以上_合計,4分以上_比例
專案難有穩定進度，容易停滯,13,16,12,3,3,47,18,0.383,6,0.1277
做出來的成果（工具、服務）很難真正發揮影響力,14,16,11,4,2,47,17,0.3617,6,0.1277
核心成員累垮，常常一個人撐住整個專案,14,18,9,5,1,47,15,0.3191,6,0.1277
找不到願意一起做的夥伴,16,20,7,2,2,47,11,0.234,4,0.0851
公務員不信任你、不願給你需要的資訊,29,9,5,3,1,47,9,0.1915,4,0.0851
專案要改變方向、或要對外代表時，不確定誰有權責拍板,28,11,8,0,0,47,8,0.1702,0,0.0
參與者突然消失，留下大量未完成任務,25,15,6,1,0,47,7,0.1489,1,0.0213
找不到對接的政府窗口、發訊息沒人理,30,10,5,1,1,47,7,0.1489,2,0.0426
抓不準專案到底要解決什麼問題,26,15,4,1,1,47,6,0.1277,2,0.0426
專案缺少文件或交接，人一走、知識就斷了,25,16,4,2,0,47,6,0.1277,2,0.0426
想要的資料拿不到、不知道去哪要,29,12,2,3,1,47,6,0.1277,4,0.0851
新手或不會寫程式的人，不知道能幫什麼,27,15,3,1,1,47,5,0.1064,2,0.0426
拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,33,11,3,0,0,47,3,0.0638,0,0.0
