分群,困難,分母,群人數,達3以上_分子,達3以上比例,達4以上_分子,達4以上比例,平均分_次要,信賴度,平均分警語
發起專案,抓不準專案到底要解決什麼問題,10,10,1,0.1,1,0.1,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,找不到願意一起做的夥伴,10,10,2,0.2,1,0.1,2.1,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,新手或不會寫程式的人，不知道能幫什麼,10,10,1,0.1,0,0.0,1.3,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,參與者突然消失，留下大量未完成任務,10,10,3,0.3,0,0.0,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,專案缺少文件或交接，人一走、知識就斷了,10,10,2,0.2,0,0.0,1.7,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,核心成員累垮，常常一個人撐住整個專案,10,10,6,0.6,2,0.2,2.7,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,專案難有穩定進度，容易停滯,10,10,4,0.4,2,0.2,2.3,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,10,10,1,0.1,0,0.0,1.3,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,專案要改變方向、或要對外代表時，不確定誰有權責拍板,10,10,3,0.3,0,0.0,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,找不到對接的政府窗口、發訊息沒人理,10,10,2,0.2,2,0.2,1.7,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,公務員不信任你、不願給你需要的資訊,10,10,3,0.3,1,0.1,1.7,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,想要的資料拿不到、不知道去哪要,10,10,3,0.3,2,0.2,1.8,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
發起專案,做出來的成果（工具、服務）很難真正發揮影響力,10,10,5,0.5,2,0.2,2.6,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
