分群,困難,分母,群人數,達3以上_分子,達3以上比例,達4以上_分子,達4以上比例,平均分_次要,信賴度,平均分警語
方向決策者,抓不準專案到底要解決什麼問題,28,28,3,0.1071,1,0.0357,1.57,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,找不到願意一起做的夥伴,28,28,6,0.2143,3,0.1071,2.11,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,新手或不會寫程式的人，不知道能幫什麼,28,28,1,0.0357,0,0.0,1.39,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,參與者突然消失，留下大量未完成任務,28,28,5,0.1786,1,0.0357,1.64,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,專案缺少文件或交接，人一走、知識就斷了,28,28,3,0.1071,1,0.0357,1.64,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,核心成員累垮，常常一個人撐住整個專案,28,28,12,0.4286,4,0.1429,2.32,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,專案難有穩定進度，容易停滯,28,28,12,0.4286,5,0.1786,2.43,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,28,28,2,0.0714,0,0.0,1.32,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,專案要改變方向、或要對外代表時，不確定誰有權責拍板,28,28,5,0.1786,0,0.0,1.57,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,找不到對接的政府窗口、發訊息沒人理,28,28,4,0.1429,2,0.0714,1.61,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,公務員不信任你、不願給你需要的資訊,28,28,5,0.1786,1,0.0357,1.5,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,想要的資料拿不到、不知道去哪要,28,28,4,0.1429,3,0.1071,1.54,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
方向決策者,做出來的成果（工具、服務）很難真正發揮影響力,28,28,13,0.4643,5,0.1786,2.43,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
執行協力者,抓不準專案到底要解決什麼問題,19,19,3,0.1579,1,0.0526,1.74,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
執行協力者,找不到願意一起做的夥伴,19,19,5,0.2632,1,0.0526,1.89,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
執行協力者,新手或不會寫程式的人，不知道能幫什麼,19,19,4,0.2105,2,0.1053,1.89,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
執行協力者,參與者突然消失，留下大量未完成任務,19,19,2,0.1053,0,0.0,1.63,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
執行協力者,專案缺少文件或交接，人一走、知識就斷了,19,19,3,0.1579,1,0.0526,1.63,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
執行協力者,核心成員累垮，常常一個人撐住整個專案,19,19,3,0.1579,2,0.1053,1.95,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
