分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
30 歲以下,我很認同這件事想達成的目標,8,10,0.8,0.8298,0.96,,L1（僅供參考）
30 歲以下,我認同這個社群，想成為其中一員,5,10,0.5,0.3617,1.38,,L1（僅供參考）
30 歲以下,純粹覺得好玩、有趣,5,10,0.5,0.3191,1.57,,L1（僅供參考）
30 歲以下,想認識新朋友、找到同好,4,10,0.4,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
30 歲以下,身邊有人在做，我就跟著加入,3,10,0.3,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
30 歲以下,累積作品集，練功或建立好名聲,4,10,0.4,0.1915,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
30 歲以下,其他（自由填答）,0,10,0.0,0.0638,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,我很認同這件事想達成的目標,15,19,0.7895,0.8298,0.95,,L1（僅供參考）
31 到 40 歲,我認同這個社群，想成為其中一員,9,19,0.4737,0.3617,1.31,,L1（僅供參考）
31 到 40 歲,純粹覺得好玩、有趣,8,19,0.4211,0.3191,1.32,,L1（僅供參考）
31 到 40 歲,想認識新朋友、找到同好,7,19,0.3684,0.3191,1.15,,L1（僅供參考）
31 到 40 歲,身邊有人在做，我就跟著加入,5,19,0.2632,0.2553,1.03,,L1（僅供參考）
31 到 40 歲,累積作品集，練功或建立好名聲,2,19,0.1053,0.1915,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,其他（自由填答）,1,19,0.0526,0.0638,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,我很認同這件事想達成的目標,16,18,0.8889,0.8298,1.07,,L1（僅供參考）
41 歲以上,我認同這個社群，想成為其中一員,3,18,0.1667,0.3617,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,純粹覺得好玩、有趣,2,18,0.1111,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,想認識新朋友、找到同好,4,18,0.2222,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,身邊有人在做，我就跟著加入,4,18,0.2222,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,累積作品集，練功或建立好名聲,3,18,0.1667,0.1915,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 歲以上,其他（自由填答）,2,18,0.1111,0.0638,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
