勾了A,也勾了B,分子,分母_勾了A的人數,在勾A的人當中也勾B的比例,信賴度,決策可用性,讀法說明
使用者,使用者,90,90,1.0,L3,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
使用者,落地推廣,41,90,0.4556,L3,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
使用者,開發維護,29,90,0.3222,L3,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
使用者,發起者,23,90,0.2556,L3,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
使用者,出資者,17,90,0.1889,L3,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
落地推廣,使用者,41,48,0.8542,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
落地推廣,落地推廣,48,48,1.0,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
落地推廣,開發維護,27,48,0.5625,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
落地推廣,發起者,20,48,0.4167,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
落地推廣,出資者,14,48,0.2917,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
開發維護,使用者,29,33,0.8788,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
開發維護,落地推廣,27,33,0.8182,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
開發維護,開發維護,33,33,1.0,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
開發維護,發起者,23,33,0.697,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
開發維護,出資者,15,33,0.4545,L2,可用於比較,這張表算的是接觸過公民科技的 101 人。讀法：分母是勾了 A 的人數，比例是「這些人當中也勾了 B 的比例」。**方向不可反讀**——使用者→出資者 0.1889 的意思是「勾使用者的人有 19% 也勾出資者」，不是「19% 的出資者是使用者」（後者是 100%，就在下面那幾列）。另外，五個角色**不是層層包含的階梯**：勾發起者的人只有 82% 也勾使用者，所以分母從 90 遞減到 17 不可讀成一個漏斗。
