變項,類別,人數,分母,比例,信賴度,備註
角色廣度（勾選數）,1 個角色,46,101,0.45544554455445546,L2,
角色廣度（勾選數）,2 個角色,20,101,0.19801980198019803,L1（僅供參考）,
角色廣度（勾選數）,3 個角色,12,101,0.1188118811881188,L1（僅供參考）,
角色廣度（勾選數）,4 個角色,11,101,0.10891089108910891,L1（僅供參考）,
角色廣度（勾選數）,5 個角色,10,101,0.09900990099009901,L1（僅供參考）,
最深角色,使用者,42,101,0.4158415841584158,L2,
最深角色,出資者,17,101,0.16831683168316833,L1（僅供參考）,
最深角色,落地推廣,17,101,0.16831683168316833,L1（僅供參考）,
最深角色,發起者,15,101,0.1485148514851485,L1（僅供參考）,
最深角色,開發維護,8,101,0.07920792079207921,L1（僅供參考）,
參與深度,接收資訊,41,101,0.40594059405940597,L2,
參與深度,主動通報,13,101,0.12871287128712872,L1（僅供參考）,
參與深度,協力參與,11,101,0.10891089108910891,L1（僅供參考）,
參與深度,共創解法,20,101,0.19801980198019803,L1（僅供參考）,
參與深度,發起專案,10,101,0.09900990099009901,L1（僅供參考）,
參與深度,以上都不太像我,6,101,0.0594059405940594,L1（僅供參考）,獨立類別，未給權重
決策位置,執行協力者,65,95,0.6842105263157895,L3,
決策位置,方向決策者,30,95,0.3157894736842105,L2,
投入強度（過去30天）,1 到 5 小時,15,47,0.3191489361702128,L1（僅供參考）,
投入強度（過去30天）,6 到 20 小時,11,47,0.23404255319148937,L1（僅供參考）,
投入強度（過去30天）,幾乎沒有,11,47,0.23404255319148937,L1（僅供參考）,
投入強度（過去30天）,21 小時以上,10,47,0.2127659574468085,L1（僅供參考）,
專案階段（合併）,早期（挖坑／跳坑）,11,47,0.23404255319148937,L1（僅供參考）,
專案階段（合併）,落地,17,47,0.3617021276595745,L1（僅供參考）,
專案階段（合併）,維運,13,47,0.2765957446808511,L1（僅供參考）,
專案階段（合併）,停擺,6,47,0.1276595744680851,L1（僅供參考）,
年齡,31 到 40 歲,45,127,0.3543307086614173,L2,
年齡,41 到 50 歲,37,127,0.29133858267716534,L2,
年齡,21 到 30 歲,22,127,0.1732283464566929,L1（僅供參考）,
年齡,51 歲以上,16,127,0.12598425196850394,L1（僅供參考）,
年齡,20 歲以下,7,127,0.05511811023622047,L1（僅供參考）,
