分群,主題,群體N,A,O,M,I,R,Q,有效樣本,有作答,Q比例,SI,DSI,落點,信賴度
從未接觸,如何發起一個公民科技專案,26,5,9,2,8,0,2,24,26,0.07692307692307693,0.583,-0.458,魅力 A,L1（僅供參考）
從未接觸,沒有現成資料時，怎麼搜尋、整理或自建資料集,26,7,11,1,6,0,1,25,26,0.038461538461538464,0.72,-0.48,魅力 A,L1（僅供參考）
從未接觸,怎麼捲動更多人（包含不會寫程式的人）一起參與,26,9,3,1,12,0,1,25,26,0.038461538461538464,0.48,-0.16,無差別 I,L1（僅供參考）
從未接觸,怎麼留住夥伴、維持團隊運作的能量,26,9,3,2,11,0,1,25,26,0.038461538461538464,0.48,-0.2,無差別 I,L1（僅供參考）
從未接觸,怎麼讓做好的東西真正落地、接進體制,26,10,11,0,3,1,1,24,26,0.038461538461538464,0.875,-0.458,魅力 A,L1（僅供參考）
接觸未參與,如何發起一個公民科技專案,54,22,11,3,12,0,6,48,54,0.1111111111111111,0.688,-0.292,魅力 A,L2
接觸未參與,沒有現成資料時，怎麼搜尋、整理或自建資料集,54,15,14,3,15,2,5,47,54,0.09259259259259259,0.617,-0.362,魅力 A,L2
接觸未參與,怎麼捲動更多人（包含不會寫程式的人）一起參與,54,19,12,2,14,1,6,47,54,0.1111111111111111,0.66,-0.298,魅力 A,L2
接觸未參與,怎麼留住夥伴、維持團隊運作的能量,54,21,12,1,14,0,6,48,54,0.1111111111111111,0.688,-0.271,魅力 A,L2
接觸未參與,怎麼讓做好的東西真正落地、接進體制,54,19,20,2,6,0,7,47,54,0.12962962962962962,0.83,-0.468,魅力 A,L2
曾參與,如何發起一個公民科技專案,47,15,8,4,18,0,1,45,46,0.021739130434782608,0.511,-0.267,魅力 A,L2
曾參與,沒有現成資料時，怎麼搜尋、整理或自建資料集,47,19,7,3,16,0,1,45,46,0.021739130434782608,0.578,-0.222,魅力 A,L2
曾參與,怎麼捲動更多人（包含不會寫程式的人）一起參與,47,23,7,3,12,0,1,45,46,0.021739130434782608,0.667,-0.222,魅力 A,L2
曾參與,怎麼留住夥伴、維持團隊運作的能量,47,22,9,1,12,1,1,44,46,0.021739130434782608,0.705,-0.227,魅力 A,L2
曾參與,怎麼讓做好的東西真正落地、接進體制,47,18,14,4,9,0,1,45,46,0.021739130434782608,0.711,-0.4,魅力 A,L2
