分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
從未接觸,g0v 社群管道（FB_Threads_Instgram),9,26,0.3462,0.4016,0.86,,L1（僅供參考）
從未接觸,親友推薦,11,26,0.4231,0.4016,1.05,,L1（僅供參考）
從未接觸,g0v Slack,2,26,0.0769,0.2283,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,揪松團每月電子報,3,26,0.1154,0.189,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,揪松團 LINE 群組,2,26,0.0769,0.1181,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,都沒有，我之前不太清楚這些管道,6,26,0.2308,0.1102,2.09,,L1（僅供參考）
從未接觸,社群活動資訊彙整網頁（https://g0v.hackmd.io/@jothon/event）,1,26,0.0385,0.0472,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,其他（自由填答）,1,26,0.0385,0.0315,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
接觸未參與,g0v 社群管道（FB_Threads_Instgram),28,54,0.5185,0.4016,1.29,,L3
接觸未參與,親友推薦,18,54,0.3333,0.4016,0.83,,L3
接觸未參與,g0v Slack,9,54,0.1667,0.2283,0.73,,L3
接觸未參與,揪松團每月電子報,13,54,0.2407,0.189,1.27,,L3
接觸未參與,揪松團 LINE 群組,7,54,0.1296,0.1181,1.1,,L3
接觸未參與,都沒有，我之前不太清楚這些管道,7,54,0.1296,0.1102,1.18,,L3
接觸未參與,社群活動資訊彙整網頁（https://g0v.hackmd.io/@jothon/event）,3,54,0.0556,0.0472,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
接觸未參與,其他（自由填答）,2,54,0.037,0.0315,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
曾參與,g0v 社群管道（FB_Threads_Instgram),14,47,0.2979,0.4016,0.74,,L2
曾參與,親友推薦,22,47,0.4681,0.4016,1.17,,L2
曾參與,g0v Slack,18,47,0.383,0.2283,1.68,,L2
曾參與,揪松團每月電子報,8,47,0.1702,0.189,0.9,,L2
曾參與,揪松團 LINE 群組,6,47,0.1277,0.1181,1.08,,L2
曾參與,都沒有，我之前不太清楚這些管道,1,47,0.0213,0.1102,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
曾參與,社群活動資訊彙整網頁（https://g0v.hackmd.io/@jothon/event）,2,47,0.0426,0.0472,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
曾參與,其他（自由填答）,1,47,0.0213,0.0315,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
