分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
從未接觸,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,12,26,0.4615,0.5748,0.8,,L1（僅供參考）
從未接觸,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,14,26,0.5385,0.5118,1.05,,L1（僅供參考）
從未接觸,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,18,26,0.6923,0.4882,1.42,,L1（僅供參考）
從未接觸,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,9,26,0.3462,0.3307,1.05,,L1（僅供參考）
從未接觸,目前都沒有特別想參加,0,26,0.0,0.0157,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
從未接觸,寫出雛形 但想知道如何優化,0,26,0.0,0.0079,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
接觸未參與,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,32,54,0.5926,0.5748,1.03,,L3
接觸未參與,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,28,54,0.5185,0.5118,1.01,,L3
接觸未參與,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,27,54,0.5,0.4882,1.02,,L3
接觸未參與,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,16,54,0.2963,0.3307,0.9,,L3
接觸未參與,目前都沒有特別想參加,0,54,0.0,0.0157,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
接觸未參與,寫出雛形 但想知道如何優化,0,54,0.0,0.0079,,勾選人數少於 5 人，倍數會被一兩個人左右,L3
曾參與,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,29,47,0.617,0.5748,1.07,,L2
曾參與,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,23,47,0.4894,0.5118,0.96,,L2
曾參與,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,17,47,0.3617,0.4882,0.74,,L2
曾參與,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,17,47,0.3617,0.3307,1.09,,L2
曾參與,目前都沒有特別想參加,2,47,0.0426,0.0157,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
曾參與,寫出雛形 但想知道如何優化,1,47,0.0213,0.0079,,勾選人數少於 5 人，倍數會被一兩個人左右,L2
