分群,選項,分子,分母,群內比例,全體比例,lift,信賴度
從未接觸,群眾協力與通報工具（讓沒有技術背景的人，也能簡單回報、標記，一起累積資料）,14,26,0.5385,0.6111,0.88,L1（僅供參考）
從未接觸,AI 應用（用 AI 整理、查證資料等）,15,26,0.5769,0.5397,1.07,L1（僅供參考）
從未接觸,資料視覺化工具,17,26,0.6538,0.5159,1.27,L1（僅供參考）
從未接觸,地理資訊與地圖工具（GIS、線上地圖）,11,26,0.4231,0.4206,1.01,L1（僅供參考）
從未接觸,民意蒐集與線上審議工具（例如問卷、Polis、討論平台）,6,26,0.2308,0.3254,0.71,L1（僅供參考）
從未接觸,怎麼找到現成的研究成果（學術論文、政府委辦研究、考察報告）,8,26,0.3077,0.3095,0.99,L1（僅供參考）
從未接觸,開放協作知識庫（維基百科、Wikidata 等共筆知識）,5,26,0.1923,0.1905,1.01,L1（僅供參考）
接觸未參與,群眾協力與通報工具（讓沒有技術背景的人，也能簡單回報、標記，一起累積資料）,31,53,0.5849,0.6111,0.96,L3
接觸未參與,AI 應用（用 AI 整理、查證資料等）,27,53,0.5094,0.5397,0.94,L3
接觸未參與,資料視覺化工具,29,53,0.5472,0.5159,1.06,L3
接觸未參與,地理資訊與地圖工具（GIS、線上地圖）,21,53,0.3962,0.4206,0.94,L3
接觸未參與,民意蒐集與線上審議工具（例如問卷、Polis、討論平台）,21,53,0.3962,0.3254,1.22,L3
接觸未參與,怎麼找到現成的研究成果（學術論文、政府委辦研究、考察報告）,14,53,0.2642,0.3095,0.85,L3
接觸未參與,開放協作知識庫（維基百科、Wikidata 等共筆知識）,11,53,0.2075,0.1905,1.09,L3
曾參與,群眾協力與通報工具（讓沒有技術背景的人，也能簡單回報、標記，一起累積資料）,32,47,0.6809,0.6111,1.11,L2
曾參與,AI 應用（用 AI 整理、查證資料等）,26,47,0.5532,0.5397,1.03,L2
曾參與,資料視覺化工具,19,47,0.4043,0.5159,0.78,L2
曾參與,地理資訊與地圖工具（GIS、線上地圖）,21,47,0.4468,0.4206,1.06,L2
曾參與,民意蒐集與線上審議工具（例如問卷、Polis、討論平台）,14,47,0.2979,0.3254,0.92,L2
曾參與,怎麼找到現成的研究成果（學術論文、政府委辦研究、考察報告）,17,47,0.3617,0.3095,1.17,L2
曾參與,開放協作知識庫（維基百科、Wikidata 等共筆知識）,8,47,0.1702,0.1905,0.89,L2
