分群,困難,分母,群人數,達3以上_分子,達3以上比例,達4以上_分子,達4以上比例,平均分_次要,信賴度,平均分警語
全體曾參與者,抓不準專案到底要解決什麼問題,47,47,6,0.1277,2,0.0426,1.64,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,找不到願意一起做的夥伴,47,47,11,0.234,4,0.0851,2.02,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,新手或不會寫程式的人，不知道能幫什麼,47,47,5,0.1064,2,0.0426,1.6,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,參與者突然消失，留下大量未完成任務,47,47,7,0.1489,1,0.0213,1.64,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,專案缺少文件或交接，人一走、知識就斷了,47,47,6,0.1277,2,0.0426,1.64,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,核心成員累垮，常常一個人撐住整個專案,47,47,15,0.3191,6,0.1277,2.17,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,專案難有穩定進度，容易停滯,47,47,18,0.383,6,0.1277,2.3,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,47,47,3,0.0638,0,0.0,1.36,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,專案要改變方向、或要對外代表時，不確定誰有權責拍板,47,47,8,0.1702,0,0.0,1.57,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,找不到對接的政府窗口、發訊息沒人理,47,47,7,0.1489,2,0.0426,1.57,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,公務員不信任你、不願給你需要的資訊,47,47,9,0.1915,4,0.0851,1.68,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,想要的資料拿不到、不知道去哪要,47,47,6,0.1277,4,0.0851,1.62,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
全體曾參與者,做出來的成果（工具、服務）很難真正發揮影響力,47,47,17,0.3617,6,0.1277,2.23,L2,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
