分群,困難,分母,群人數,達3以上_分子,達3以上比例,達4以上_分子,達4以上比例,平均分_次要,信賴度,平均分警語
早期（挖坑／跳坑）,抓不準專案到底要解決什麼問題,11,11,3,0.2727,1,0.0909,1.91,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,找不到願意一起做的夥伴,11,11,2,0.1818,0,0.0,1.82,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,新手或不會寫程式的人，不知道能幫什麼,11,11,1,0.0909,0,0.0,1.64,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,參與者突然消失，留下大量未完成任務,11,11,0,0.0,0,0.0,1.27,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,專案缺少文件或交接，人一走、知識就斷了,11,11,0,0.0,0,0.0,1.27,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,核心成員累垮，常常一個人撐住整個專案,11,11,2,0.1818,0,0.0,1.73,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,專案難有穩定進度，容易停滯,11,11,4,0.3636,1,0.0909,2.09,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,11,11,0,0.0,0,0.0,1.18,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,專案要改變方向、或要對外代表時，不確定誰有權責拍板,11,11,0,0.0,0,0.0,1.27,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,找不到對接的政府窗口、發訊息沒人理,11,11,0,0.0,0,0.0,1.36,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,公務員不信任你、不願給你需要的資訊,11,11,1,0.0909,0,0.0,1.45,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,想要的資料拿不到、不知道去哪要,11,11,0,0.0,0,0.0,1.36,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
早期（挖坑／跳坑）,做出來的成果（工具、服務）很難真正發揮影響力,11,11,4,0.3636,2,0.1818,2.27,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,抓不準專案到底要解決什麼問題,13,13,2,0.1538,1,0.0769,1.62,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,找不到願意一起做的夥伴,13,13,2,0.1538,1,0.0769,1.92,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,新手或不會寫程式的人，不知道能幫什麼,13,13,0,0.0,0,0.0,1.38,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,參與者突然消失，留下大量未完成任務,13,13,1,0.0769,1,0.0769,1.62,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,專案缺少文件或交接，人一走、知識就斷了,13,13,3,0.2308,1,0.0769,1.85,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,核心成員累垮，常常一個人撐住整個專案,13,13,4,0.3077,2,0.1538,2.23,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,專案難有穩定進度，容易停滯,13,13,2,0.1538,0,0.0,1.85,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,13,13,0,0.0,0,0.0,1.23,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,專案要改變方向、或要對外代表時，不確定誰有權責拍板,13,13,2,0.1538,0,0.0,1.46,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,找不到對接的政府窗口、發訊息沒人理,13,13,2,0.1538,1,0.0769,1.62,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,公務員不信任你、不願給你需要的資訊,13,13,4,0.3077,2,0.1538,1.92,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,想要的資料拿不到、不知道去哪要,13,13,3,0.2308,2,0.1538,1.85,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
維運,做出來的成果（工具、服務）很難真正發揮影響力,13,13,5,0.3846,1,0.0769,2.23,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,抓不準專案到底要解決什麼問題,17,17,1,0.0588,0,0.0,1.53,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,找不到願意一起做的夥伴,17,17,4,0.2353,1,0.0588,2.0,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,新手或不會寫程式的人，不知道能幫什麼,17,17,3,0.1765,2,0.1176,1.76,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,參與者突然消失，留下大量未完成任務,17,17,4,0.2353,0,0.0,1.76,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,專案缺少文件或交接，人一走、知識就斷了,17,17,1,0.0588,0,0.0,1.47,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,核心成員累垮，常常一個人撐住整個專案,17,17,6,0.3529,2,0.1176,2.18,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,專案難有穩定進度，容易停滯,17,17,9,0.5294,3,0.1765,2.53,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,拿到經費或補助後，不知道怎麼管帳、報稅或處理聘僱,17,17,3,0.1765,0,0.0,1.53,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,專案要改變方向、或要對外代表時，不確定誰有權責拍板,17,17,5,0.2941,0,0.0,1.82,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
落地,找不到對接的政府窗口、發訊息沒人理,17,17,4,0.2353,1,0.0588,1.65,L1（僅供參考）,此題實際上線版本沒有「沒遇到」選項，13 題皆為 1–5 強制作答，「1：幾乎沒影響」混合了「沒發生過」與「發生了但無感」兩種情況，故平均值系統性低估，主要指標採 %≥3。
