分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
20 歲以下,我很認同這件事想達成的目標,0,2,0.0,0.8298,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,我認同這個社群，想成為其中一員,1,2,0.5,0.4255,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,純粹覺得好玩、有趣,1,2,0.5,0.3404,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,想認識新朋友、找到同好,1,2,0.5,0.2766,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,身邊有人在做，我就跟著加入,0,2,0.0,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,累積作品集，練功或建立好名聲,1,2,0.5,0.1277,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,其他（自由填答）,0,2,0.0,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,我很認同這件事想達成的目標,7,8,0.875,0.8298,1.05,,L1（僅供參考）
21 到 30 歲,我認同這個社群，想成為其中一員,6,8,0.75,0.4255,1.76,,L1（僅供參考）
21 到 30 歲,純粹覺得好玩、有趣,4,8,0.5,0.3404,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,想認識新朋友、找到同好,3,8,0.375,0.2766,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,身邊有人在做，我就跟著加入,4,8,0.5,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,累積作品集，練功或建立好名聲,3,8,0.375,0.1277,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,其他（自由填答）,0,8,0.0,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,我很認同這件事想達成的目標,15,19,0.7895,0.8298,0.95,,L1（僅供參考）
31 到 40 歲,我認同這個社群，想成為其中一員,9,19,0.4737,0.4255,1.11,,L1（僅供參考）
31 到 40 歲,純粹覺得好玩、有趣,6,19,0.3158,0.3404,0.93,,L1（僅供參考）
31 到 40 歲,想認識新朋友、找到同好,7,19,0.3684,0.2766,1.33,,L1（僅供參考）
31 到 40 歲,身邊有人在做，我就跟著加入,4,19,0.2105,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,累積作品集，練功或建立好名聲,1,19,0.0526,0.1277,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,其他（自由填答）,1,19,0.0526,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,我很認同這件事想達成的目標,11,12,0.9167,0.8298,1.1,,L1（僅供參考）
41 到 50 歲,我認同這個社群，想成為其中一員,4,12,0.3333,0.4255,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,純粹覺得好玩、有趣,5,12,0.4167,0.3404,1.22,,L1（僅供參考）
41 到 50 歲,想認識新朋友、找到同好,2,12,0.1667,0.2766,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,身邊有人在做，我就跟著加入,3,12,0.25,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,累積作品集，練功或建立好名聲,1,12,0.0833,0.1277,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,其他（自由填答）,0,12,0.0,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,我很認同這件事想達成的目標,6,6,1.0,0.8298,1.21,,L1（僅供參考）
51 歲以上,我認同這個社群，想成為其中一員,0,6,0.0,0.4255,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,純粹覺得好玩、有趣,0,6,0.0,0.3404,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,想認識新朋友、找到同好,0,6,0.0,0.2766,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,身邊有人在做，我就跟著加入,1,6,0.1667,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,累積作品集，練功或建立好名聲,0,6,0.0,0.1277,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,其他（自由填答）,0,6,0.0,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
