你的年齡？,投入時數,分子,群內比例,分母,信賴度
20 歲以下,1 到 5 小時,1,0.5,2,L1（僅供參考）
20 歲以下,21 小時以上,1,0.5,2,L1（僅供參考）
20 歲以下,6 到 20 小時,0,0.0,2,L1（僅供參考）
20 歲以下,幾乎沒有,0,0.0,2,L1（僅供參考）
21 到 30 歲,1 到 5 小時,3,0.375,8,L1（僅供參考）
21 到 30 歲,21 小時以上,3,0.375,8,L1（僅供參考）
21 到 30 歲,6 到 20 小時,2,0.25,8,L1（僅供參考）
21 到 30 歲,幾乎沒有,0,0.0,8,L1（僅供參考）
31 到 40 歲,1 到 5 小時,6,0.316,19,L1（僅供參考）
31 到 40 歲,21 小時以上,4,0.211,19,L1（僅供參考）
31 到 40 歲,6 到 20 小時,4,0.211,19,L1（僅供參考）
31 到 40 歲,幾乎沒有,5,0.263,19,L1（僅供參考）
41 到 50 歲,1 到 5 小時,3,0.25,12,L1（僅供參考）
41 到 50 歲,21 小時以上,1,0.083,12,L1（僅供參考）
41 到 50 歲,6 到 20 小時,4,0.333,12,L1（僅供參考）
41 到 50 歲,幾乎沒有,4,0.333,12,L1（僅供參考）
51 歲以上,1 到 5 小時,2,0.333,6,L1（僅供參考）
51 歲以上,21 小時以上,1,0.167,6,L1（僅供參考）
51 歲以上,6 到 20 小時,1,0.167,6,L1（僅供參考）
51 歲以上,幾乎沒有,2,0.333,6,L1（僅供參考）
