分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
20 歲以下,我很認同這件事想達成的目標,1,2,0.5,0.8298,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,我認同這個社群，想成為其中一員,1,2,0.5,0.3617,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,純粹覺得好玩、有趣,1,2,0.5,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,想認識新朋友、找到同好,1,2,0.5,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,身邊有人在做，我就跟著加入,0,2,0.0,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,累積作品集，練功或建立好名聲,1,2,0.5,0.1915,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
20 歲以下,其他（自由填答）,0,2,0.0,0.0638,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,我很認同這件事想達成的目標,7,8,0.875,0.8298,1.05,,L1（僅供參考）
21 到 30 歲,我認同這個社群，想成為其中一員,4,8,0.5,0.3617,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,純粹覺得好玩、有趣,4,8,0.5,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,想認識新朋友、找到同好,3,8,0.375,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,身邊有人在做，我就跟著加入,3,8,0.375,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,累積作品集，練功或建立好名聲,3,8,0.375,0.1915,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
21 到 30 歲,其他（自由填答）,0,8,0.0,0.0638,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,我很認同這件事想達成的目標,15,19,0.7895,0.8298,0.95,,L1（僅供參考）
31 到 40 歲,我認同這個社群，想成為其中一員,9,19,0.4737,0.3617,1.31,,L1（僅供參考）
31 到 40 歲,純粹覺得好玩、有趣,8,19,0.4211,0.3191,1.32,,L1（僅供參考）
31 到 40 歲,想認識新朋友、找到同好,7,19,0.3684,0.3191,1.15,,L1（僅供參考）
31 到 40 歲,身邊有人在做，我就跟著加入,5,19,0.2632,0.2553,1.03,,L1（僅供參考）
31 到 40 歲,累積作品集，練功或建立好名聲,2,19,0.1053,0.1915,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
31 到 40 歲,其他（自由填答）,1,19,0.0526,0.0638,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,我很認同這件事想達成的目標,10,12,0.8333,0.8298,1.0,,L1（僅供參考）
41 到 50 歲,我認同這個社群，想成為其中一員,3,12,0.25,0.3617,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,純粹覺得好玩、有趣,2,12,0.1667,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,想認識新朋友、找到同好,3,12,0.25,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,身邊有人在做，我就跟著加入,3,12,0.25,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,累積作品集，練功或建立好名聲,2,12,0.1667,0.1915,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
41 到 50 歲,其他（自由填答）,1,12,0.0833,0.0638,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,我很認同這件事想達成的目標,6,6,1.0,0.8298,1.21,,L1（僅供參考）
51 歲以上,我認同這個社群，想成為其中一員,0,6,0.0,0.3617,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,純粹覺得好玩、有趣,0,6,0.0,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,想認識新朋友、找到同好,1,6,0.1667,0.3191,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,身邊有人在做，我就跟著加入,1,6,0.1667,0.2553,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,累積作品集，練功或建立好名聲,1,6,0.1667,0.1915,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
51 歲以上,其他（自由填答）,1,6,0.1667,0.0638,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
