分群,選項,分子,分母,群內比例,全體比例,lift,信賴度
30 歲以下,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,16,29,0.5517,0.5748,0.96,L1（僅供參考）
30 歲以下,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,18,29,0.6207,0.5118,1.21,L1（僅供參考）
30 歲以下,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,11,29,0.3793,0.4882,0.78,L1（僅供參考）
30 歲以下,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,10,29,0.3448,0.3307,1.04,L1（僅供參考）
30 歲以下,目前都沒有特別想參加,0,29,0.0,0.0157,0.0,L1（僅供參考）
30 歲以下,寫出雛形 但想知道如何優化,1,29,0.0345,0.0079,4.38,L1（僅供參考）
31 到 40 歲,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,25,45,0.5556,0.5748,0.97,L2
31 到 40 歲,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,23,45,0.5111,0.5118,1.0,L2
31 到 40 歲,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,24,45,0.5333,0.4882,1.09,L2
31 到 40 歲,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,12,45,0.2667,0.3307,0.81,L2
31 到 40 歲,目前都沒有特別想參加,1,45,0.0222,0.0157,1.41,L2
31 到 40 歲,寫出雛形 但想知道如何優化,0,45,0.0,0.0079,0.0,L2
41 歲以上,公私協力怎麼談：一起討論公部門和民間合作的方法，以及常卡在哪,32,53,0.6038,0.5748,1.05,L3
41 歲以上,公民科技實戰心法：從真實案例復盤，學前人怎麼把專案做起來,24,53,0.4528,0.5118,0.88,L3
41 歲以上,公民科技資料庫入門：學會用網站和 AI 問答，快速查專案、看懂專案怎麼組成,27,53,0.5094,0.4882,1.04,L3
41 歲以上,用 AI 幫你提案：從零開始，動手把點子變成專案構想和藍圖,20,53,0.3774,0.3307,1.14,L3
41 歲以上,目前都沒有特別想參加,1,53,0.0189,0.0157,1.2,L3
41 歲以上,寫出雛形 但想知道如何優化,0,53,0.0,0.0079,0.0,L3
