分群,選項,分子,分母,群內比例,全體比例,lift,信賴度
接收資訊,人脈（例如：由社群介紹可諮詢的專家）,3,5,0.6,0.6596,0.91,L1（僅供參考）
接收資訊,經費（例如：獎助金、標案或機構支持費用）,2,5,0.4,0.4681,0.85,L1（僅供參考）
接收資訊,公開資料或開放資料（例如：政治獻金資料集）,1,5,0.2,0.4468,0.45,L1（僅供參考）
接收資訊,場地（例如：NPO Hub）,1,5,0.2,0.4043,0.49,L1（僅供參考）
接收資訊,現成的數位工具或平台（例如：Pol.is）,2,5,0.4,0.3617,1.11,L1（僅供參考）
接收資訊,政府窗口（例如：協助將專案成果結合到體制內）,0,5,0.0,0.3404,0.0,L1（僅供參考）
接收資訊,主要靠我自己想辦法,0,5,0.0,0.234,0.0,L1（僅供參考）
接收資訊,所屬社團夥伴一起討論,0,5,0.0,0.0213,0.0,L1（僅供參考）
主動通報,人脈（例如：由社群介紹可諮詢的專家）,3,6,0.5,0.6596,0.76,L1（僅供參考）
主動通報,經費（例如：獎助金、標案或機構支持費用）,3,6,0.5,0.4681,1.07,L1（僅供參考）
主動通報,公開資料或開放資料（例如：政治獻金資料集）,2,6,0.3333,0.4468,0.75,L1（僅供參考）
主動通報,場地（例如：NPO Hub）,2,6,0.3333,0.4043,0.82,L1（僅供參考）
主動通報,現成的數位工具或平台（例如：Pol.is）,1,6,0.1667,0.3617,0.46,L1（僅供參考）
主動通報,政府窗口（例如：協助將專案成果結合到體制內）,1,6,0.1667,0.3404,0.49,L1（僅供參考）
主動通報,主要靠我自己想辦法,1,6,0.1667,0.234,0.71,L1（僅供參考）
主動通報,所屬社團夥伴一起討論,1,6,0.1667,0.0213,7.83,L1（僅供參考）
協力參與,人脈（例如：由社群介紹可諮詢的專家）,3,8,0.375,0.6596,0.57,L1（僅供參考）
協力參與,經費（例如：獎助金、標案或機構支持費用）,3,8,0.375,0.4681,0.8,L1（僅供參考）
協力參與,公開資料或開放資料（例如：政治獻金資料集）,4,8,0.5,0.4468,1.12,L1（僅供參考）
協力參與,場地（例如：NPO Hub）,2,8,0.25,0.4043,0.62,L1（僅供參考）
協力參與,現成的數位工具或平台（例如：Pol.is）,2,8,0.25,0.3617,0.69,L1（僅供參考）
協力參與,政府窗口（例如：協助將專案成果結合到體制內）,3,8,0.375,0.3404,1.1,L1（僅供參考）
協力參與,主要靠我自己想辦法,3,8,0.375,0.234,1.6,L1（僅供參考）
協力參與,所屬社團夥伴一起討論,0,8,0.0,0.0213,0.0,L1（僅供參考）
共創解法,人脈（例如：由社群介紹可諮詢的專家）,15,18,0.8333,0.6596,1.26,L1（僅供參考）
共創解法,經費（例如：獎助金、標案或機構支持費用）,9,18,0.5,0.4681,1.07,L1（僅供參考）
共創解法,公開資料或開放資料（例如：政治獻金資料集）,7,18,0.3889,0.4468,0.87,L1（僅供參考）
共創解法,場地（例如：NPO Hub）,10,18,0.5556,0.4043,1.37,L1（僅供參考）
共創解法,現成的數位工具或平台（例如：Pol.is）,8,18,0.4444,0.3617,1.23,L1（僅供參考）
共創解法,政府窗口（例如：協助將專案成果結合到體制內）,8,18,0.4444,0.3404,1.31,L1（僅供參考）
共創解法,主要靠我自己想辦法,2,18,0.1111,0.234,0.47,L1（僅供參考）
共創解法,所屬社團夥伴一起討論,0,18,0.0,0.0213,0.0,L1（僅供參考）
發起專案,人脈（例如：由社群介紹可諮詢的專家）,7,10,0.7,0.6596,1.06,L1（僅供參考）
發起專案,經費（例如：獎助金、標案或機構支持費用）,5,10,0.5,0.4681,1.07,L1（僅供參考）
發起專案,公開資料或開放資料（例如：政治獻金資料集）,7,10,0.7,0.4468,1.57,L1（僅供參考）
發起專案,場地（例如：NPO Hub）,4,10,0.4,0.4043,0.99,L1（僅供參考）
發起專案,現成的數位工具或平台（例如：Pol.is）,4,10,0.4,0.3617,1.11,L1（僅供參考）
發起專案,政府窗口（例如：協助將專案成果結合到體制內）,4,10,0.4,0.3404,1.18,L1（僅供參考）
發起專案,主要靠我自己想辦法,5,10,0.5,0.234,2.14,L1（僅供參考）
發起專案,所屬社團夥伴一起討論,0,10,0.0,0.0213,0.0,L1（僅供參考）
