分群,選項,分子,分母,群內比例,全體比例,lift,信賴度
早期（挖坑／跳坑）,人脈（例如：由社群介紹可諮詢的專家）,8,11,0.7273,0.6596,1.1,L1（僅供參考）
早期（挖坑／跳坑）,經費（例如：獎助金、標案或機構支持費用）,6,11,0.5455,0.4681,1.17,L1（僅供參考）
早期（挖坑／跳坑）,公開資料或開放資料（例如：政治獻金資料集）,2,11,0.1818,0.4468,0.41,L1（僅供參考）
早期（挖坑／跳坑）,場地（例如：NPO Hub）,6,11,0.5455,0.4043,1.35,L1（僅供參考）
早期（挖坑／跳坑）,現成的數位工具或平台（例如：Pol.is）,6,11,0.5455,0.3617,1.51,L1（僅供參考）
早期（挖坑／跳坑）,政府窗口（例如：協助將專案成果結合到體制內）,4,11,0.3636,0.3404,1.07,L1（僅供參考）
早期（挖坑／跳坑）,主要靠我自己想辦法,3,11,0.2727,0.234,1.17,L1（僅供參考）
早期（挖坑／跳坑）,所屬社團夥伴一起討論,1,11,0.0909,0.0213,4.27,L1（僅供參考）
落地,人脈（例如：由社群介紹可諮詢的專家）,8,17,0.4706,0.6596,0.71,L1（僅供參考）
落地,經費（例如：獎助金、標案或機構支持費用）,5,17,0.2941,0.4681,0.63,L1（僅供參考）
落地,公開資料或開放資料（例如：政治獻金資料集）,9,17,0.5294,0.4468,1.18,L1（僅供參考）
落地,場地（例如：NPO Hub）,4,17,0.2353,0.4043,0.58,L1（僅供參考）
落地,現成的數位工具或平台（例如：Pol.is）,7,17,0.4118,0.3617,1.14,L1（僅供參考）
落地,政府窗口（例如：協助將專案成果結合到體制內）,5,17,0.2941,0.3404,0.86,L1（僅供參考）
落地,主要靠我自己想辦法,6,17,0.3529,0.234,1.51,L1（僅供參考）
落地,所屬社團夥伴一起討論,0,17,0.0,0.0213,0.0,L1（僅供參考）
維運,人脈（例如：由社群介紹可諮詢的專家）,11,13,0.8462,0.6596,1.28,L1（僅供參考）
維運,經費（例如：獎助金、標案或機構支持費用）,8,13,0.6154,0.4681,1.31,L1（僅供參考）
維運,公開資料或開放資料（例如：政治獻金資料集）,8,13,0.6154,0.4468,1.38,L1（僅供參考）
維運,場地（例如：NPO Hub）,6,13,0.4615,0.4043,1.14,L1（僅供參考）
維運,現成的數位工具或平台（例如：Pol.is）,4,13,0.3077,0.3617,0.85,L1（僅供參考）
維運,政府窗口（例如：協助將專案成果結合到體制內）,6,13,0.4615,0.3404,1.36,L1（僅供參考）
維運,主要靠我自己想辦法,2,13,0.1538,0.234,0.66,L1（僅供參考）
維運,所屬社團夥伴一起討論,0,13,0.0,0.0213,0.0,L1（僅供參考）
停擺,人脈（例如：由社群介紹可諮詢的專家）,4,6,0.6667,0.6596,1.01,L1（僅供參考）
停擺,經費（例如：獎助金、標案或機構支持費用）,3,6,0.5,0.4681,1.07,L1（僅供參考）
停擺,公開資料或開放資料（例如：政治獻金資料集）,2,6,0.3333,0.4468,0.75,L1（僅供參考）
停擺,場地（例如：NPO Hub）,3,6,0.5,0.4043,1.24,L1（僅供參考）
停擺,現成的數位工具或平台（例如：Pol.is）,0,6,0.0,0.3617,0.0,L1（僅供參考）
停擺,政府窗口（例如：協助將專案成果結合到體制內）,1,6,0.1667,0.3404,0.49,L1（僅供參考）
停擺,主要靠我自己想辦法,0,6,0.0,0.234,0.0,L1（僅供參考）
停擺,所屬社團夥伴一起討論,0,6,0.0,0.0213,0.0,L1（僅供參考）
