分群,選項,分子,分母,群內比例,全體比例,lift,lift留空原因,信賴度
方向決策者,人脈（例如：由社群介紹可諮詢的專家）,22,28,0.7857,0.6596,1.19,,L1（僅供參考）
方向決策者,經費（例如：獎助金、標案或機構支持費用）,14,28,0.5,0.4681,1.07,,L1（僅供參考）
方向決策者,公開資料或開放資料（例如：政治獻金資料集）,14,28,0.5,0.4468,1.12,,L1（僅供參考）
方向決策者,場地（例如：NPO Hub）,14,28,0.5,0.4043,1.24,,L1（僅供參考）
方向決策者,現成的數位工具或平台（例如：Pol.is）,12,28,0.4286,0.3617,1.18,,L1（僅供參考）
方向決策者,政府窗口（例如：協助將專案成果結合到體制內）,12,28,0.4286,0.3404,1.26,,L1（僅供參考）
方向決策者,主要靠我自己想辦法,7,28,0.25,0.234,1.07,,L1（僅供參考）
方向決策者,其他（自由填答）,0,28,0.0,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
執行協力者,人脈（例如：由社群介紹可諮詢的專家）,9,19,0.4737,0.6596,0.72,,L1（僅供參考）
執行協力者,經費（例如：獎助金、標案或機構支持費用）,8,19,0.4211,0.4681,0.9,,L1（僅供參考）
執行協力者,公開資料或開放資料（例如：政治獻金資料集）,7,19,0.3684,0.4468,0.82,,L1（僅供參考）
執行協力者,場地（例如：NPO Hub）,5,19,0.2632,0.4043,0.65,,L1（僅供參考）
執行協力者,現成的數位工具或平台（例如：Pol.is）,5,19,0.2632,0.3617,0.73,,L1（僅供參考）
執行協力者,政府窗口（例如：協助將專案成果結合到體制內）,4,19,0.2105,0.3404,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
執行協力者,主要靠我自己想辦法,4,19,0.2105,0.234,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
執行協力者,其他（自由填答）,1,19,0.0526,0.0213,,勾選人數少於 5 人，倍數會被一兩個人左右,L1（僅供參考）
