題目,主題,筆數,分母,比例,分母說明,信賴度
面對困難採取的行動,向外求助（人脈、專家、在地組織）,6,28,0.2143,曾參與者中有填答者,L1（僅供參考）
面對困難採取的行動,降低期待、放慢步調,5,28,0.1786,曾參與者中有填答者,L1（僅供參考）
面對困難採取的行動,自己補能力或用工具頂著,4,28,0.1429,曾參與者中有填答者,L1（僅供參考）
面對困難採取的行動,團隊內部溝通、建立固定節奏,4,28,0.1429,曾參與者中有填答者,L1（僅供參考）
面對困難採取的行動,對外推廣、擴大能見度,4,28,0.1429,曾參與者中有填答者,L1（僅供參考）
面對困難採取的行動,沒有特別行動或尚未行動,3,28,0.1071,曾參與者中有填答者,L1（僅供參考）
面對困難採取的行動,只描述困難，未提行動,3,28,0.1071,曾參與者中有填答者,L1（僅供參考）
面對困難採取的行動,交棒或淡出,1,28,0.0357,曾參與者中有填答者,L1（僅供參考）
面對困難採取的行動,建立文件、避免交接斷層,1,28,0.0357,曾參與者中有填答者,L1（僅供參考）
專案在解決什麼問題,環境與生態,7,47,0.1489,曾參與者全數填答,L2
專案在解決什麼問題,其他（居住、醫療、能源、數位身分等）,6,47,0.1277,曾參與者全數填答,L2
專案在解決什麼問題,教育與學習,5,47,0.1064,曾參與者全數填答,L2
專案在解決什麼問題,社群經營與協作工具,5,47,0.1064,曾參與者全數填答,L2
專案在解決什麼問題,防災與公共安全,5,47,0.1064,曾參與者全數填答,L2
專案在解決什麼問題,政治監督與開放國會,4,47,0.0851,曾參與者全數填答,L2
專案在解決什麼問題,土地、都市與地方,4,47,0.0851,曾參與者全數填答,L2
專案在解決什麼問題,公共討論與民意工具,4,47,0.0851,曾參與者全數填答,L2
專案在解決什麼問題,交通與道路,3,47,0.0638,曾參與者全數填答,L2
專案在解決什麼問題,公私協力與公務員,2,47,0.0426,曾參與者全數填答,L2
專案在解決什麼問題,假訊息查證,2,47,0.0426,曾參與者全數填答,L2
所屬組織或團體,非營利組織與協會,15,55,0.2727,全體中有填答者,L3
所屬組織或團體,學術與研究機構,14,55,0.2545,全體中有填答者,L3
所屬組織或團體,企業與新創,12,55,0.2182,全體中有填答者,L3
所屬組織或團體,社群、工作室或個人,8,55,0.1455,全體中有填答者,L3
所屬組織或團體,公部門,2,55,0.0364,全體中有填答者,L3
所屬組織或團體,媒體與事實查核,2,55,0.0364,全體中有填答者,L3
所屬組織或團體,法人與中介組織,1,55,0.0182,全體中有填答者,L3
所屬組織或團體,未具體說明,1,55,0.0182,全體中有填答者,L3
