分群,選項,分子,分母_作答人數,群人數,群內比例,全體比例,lift,lift留空原因,該群平均角色廣度,信賴度,決策可用性,讀法說明
使用者,我很認同這件事想達成的目標,31,39,39,0.7949,0.8298,0.96,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,我認同這個社群，想成為其中一員,17,39,39,0.4359,0.4255,1.02,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,純粹覺得好玩、有趣,14,39,39,0.359,0.3404,1.05,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,想認識新朋友、找到同好,11,39,39,0.2821,0.2766,1.02,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,身邊有人在做，我就跟著加入,10,39,39,0.2564,0.2553,1.0,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,累積作品集，練功或建立好名聲,5,39,39,0.1282,0.1277,1.0,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,其他（自由填答）,1,39,39,0.0256,0.0213,,分子<5，lift 為雜訊,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,我很認同這件事想達成的目標,30,36,36,0.8333,0.8298,1.0,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,我認同這個社群，想成為其中一員,15,36,36,0.4167,0.4255,0.98,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,純粹覺得好玩、有趣,13,36,36,0.3611,0.3404,1.06,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
