分群,選項,分子,分母_作答人數,群人數,群內比例,全體比例,lift,lift留空原因,該群平均角色廣度,信賴度,決策可用性,讀法說明
使用者,我很認同這件事想達成的目標,32,39,39,0.8205,0.8298,0.99,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,我認同這個社群，想成為其中一員,15,39,39,0.3846,0.3617,1.06,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,純粹覺得好玩、有趣,14,39,39,0.359,0.3191,1.12,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,想認識新朋友、找到同好,13,39,39,0.3333,0.3191,1.04,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,身邊有人在做，我就跟著加入,9,39,39,0.2308,0.2553,0.9,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,累積作品集，練功或建立好名聲,8,39,39,0.2051,0.1915,1.07,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,其他（自由填答）,2,39,39,0.0513,0.0638,,分子<5，lift 為雜訊,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,我很認同這件事想達成的目標,32,36,36,0.8889,0.8298,1.07,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,我認同這個社群，想成為其中一員,13,36,36,0.3611,0.3617,1.0,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,純粹覺得好玩、有趣,12,36,36,0.3333,0.3191,1.04,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,想認識新朋友、找到同好,11,36,36,0.3056,0.3191,0.96,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,身邊有人在做，我就跟著加入,11,36,36,0.3056,0.2553,1.2,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,累積作品集，練功或建立好名聲,7,36,36,0.1944,0.1915,1.02,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,其他（自由填答）,2,36,36,0.0556,0.0638,,分子<5，lift 為雜訊,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,我很認同這件事想達成的目標,28,33,33,0.8485,0.8298,1.02,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,我認同這個社群，想成為其中一員,16,33,33,0.4848,0.3617,1.34,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,純粹覺得好玩、有趣,12,33,33,0.3636,0.3191,1.14,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,想認識新朋友、找到同好,13,33,33,0.3939,0.3191,1.23,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,身邊有人在做，我就跟著加入,9,33,33,0.2727,0.2553,1.07,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,累積作品集，練功或建立好名聲,8,33,33,0.2424,0.1915,1.27,,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
開發維護,其他（自由填答）,1,33,33,0.0303,0.0638,,分子<5，lift 為雜訊,3.85,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,我很認同這件事想達成的目標,23,27,27,0.8519,0.8298,1.03,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,我認同這個社群，想成為其中一員,13,27,27,0.4815,0.3617,1.33,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,純粹覺得好玩、有趣,8,27,27,0.2963,0.3191,0.93,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,想認識新朋友、找到同好,13,27,27,0.4815,0.3191,1.51,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,身邊有人在做，我就跟著加入,4,27,27,0.1481,0.2553,,分子<5，lift 為雜訊,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,累積作品集，練功或建立好名聲,6,27,27,0.2222,0.1915,1.16,,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
發起者,其他（自由填答）,2,27,27,0.0741,0.0638,,分子<5，lift 為雜訊,3.85,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,我很認同這件事想達成的目標,14,16,16,0.875,0.8298,1.05,,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,我認同這個社群，想成為其中一員,7,16,16,0.4375,0.3617,1.21,,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,純粹覺得好玩、有趣,5,16,16,0.3125,0.3191,0.98,,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,想認識新朋友、找到同好,5,16,16,0.3125,0.3191,0.98,,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
出資者,身邊有人在做，我就跟著加入,1,16,16,0.0625,0.2553,,分子<5，lift 為雜訊,4.56,L1（僅供參考）,僅供參考,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
