分群,選項,分子,分母_作答人數,群人數,群內比例,全體比例,lift,lift留空原因,該群平均角色廣度,信賴度,決策可用性,讀法說明
使用者,人脈（例如：由社群介紹可諮詢的專家）,26,39,39,0.6667,0.6596,1.01,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,經費（例如：獎助金、標案或機構支持費用）,18,39,39,0.4615,0.4681,0.99,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,公開資料或開放資料（例如：政治獻金資料集）,16,39,39,0.4103,0.4468,0.92,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,場地（例如：NPO Hub）,16,39,39,0.4103,0.4043,1.01,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,現成的數位工具或平台（例如：Pol.is）,14,39,39,0.359,0.3617,0.99,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,政府窗口（例如：協助將專案成果結合到體制內）,14,39,39,0.359,0.3404,1.05,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,主要靠我自己想辦法,8,39,39,0.2051,0.234,0.88,,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
使用者,其他（自由填答）,1,39,39,0.0256,0.0213,,分子<5，lift 為雜訊,3.49,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,人脈（例如：由社群介紹可諮詢的專家）,25,36,36,0.6944,0.6596,1.05,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
落地推廣,經費（例如：獎助金、標案或機構支持費用）,18,36,36,0.5,0.4681,1.07,,3.47,L2,可用於比較,角色為複選、各群互相重疊，且五個角色之間沒有深淺順序（輸出順序僅沿用 ROLE_LADDER 的固定排列），不可跨群當互斥類別比較、更不可讀成遞增梯度；「該群平均角色廣度」欄用於揭露身兼多職這個混淆。分母池＝曾參與專案的 47 人（角色題本身的 101 人不是這裡的分母）。 各列分子＝勾了該選項的人數，**跨選項不可相加**（會把複選多項的人重複計）。選項外的自由填答已收斂成「其他（自由填答）」。分子 <5 的列不給 lift。
