行號,章節,寫法,原文,分子,分母,取自,問卷題目,分母是誰,信賴度
4,開頭四個發現,裸數字（人數）,127 份,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
9,開頭四個發現,裸數字（人數）,127 位,127,,樣本數陳述,有效回收份數,全體填答者 127 人,
21,開頭四個發現,寫明分母,32%（15/47）,15,47,0 個，目前沒有投入的專案,你現在手上同時在進行幾個公民科技專案？,曾參與者 N=47（只有做過專案的人被問到這些題）,L2
21,開頭四個發現,裸數字（人數）,47 人,47,,樣本數陳述,專案階段、資源、專長、困擾、動機等題只問做過專案的人,曾參與者 47 人,
29,開頭四個發現,寫明分母,8 人中有 1 人（12%）,1,8,協力參與／核心成員累垮，常常一個人撐住整個專案（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=協力參與,L1（僅供參考）
30,開頭四個發現,寫明分母,18 人中有 6 人（33%）,6,18,共創解法／核心成員累垮，常常一個人撐住整個專案（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=共創解法,L1（僅供參考）
31,開頭四個發現,寫明分母,10 人中有 6 人（60%）,6,10,發起專案／核心成員累垮，常常一個人撐住整個專案（%≥3）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案,L1（僅供參考）
33,開頭四個發現,裸數字（人數）,10 個人,10,,計數（分母寫在同段落的其他數字裡）,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案 N=10,
33,開頭四個發現,裸數字（其他量詞）,6 個,,,計數或題目設計說明,下面這些困難，各自對你造成多大的困擾？[…],曾參與且參與深度=發起專案 N=10,
35,開頭四個發現,寫明分母,38%（18/47）,18,47,專案難有穩定進度，容易停滯,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
35,開頭四個發現,寫明分母,36%（17/47）,17,47,做出來的成果（工具、服務）很難真正發揮影響力,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
35,開頭四個發現,寫明分母,32%（15/47）,15,47,核心成員累垮，常常一個人撐住整個專案,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
35,開頭四個發現,寫明分母,23%（11/47）,11,47,找不到願意一起做的夥伴,下面這些困難，各自對你造成多大的困擾？[…],曾參與 N=47；主指標 %≥3,L2
