報告,行號,原文,分子,宣稱%,可回推的分母,通過
公民科技生態系分析報告_v1.md,136,13 人（28%）,13,28.0,47,True
公民科技生態系分析報告_v1.md,217,46 人（46%）,46,46.0,101,True
公民科技生態系分析報告_v1.md,217,10 人（10%）,10,10.0,101,True
公民科技生態系分析報告_v1.md,231,11 人（23%）,11,23.0,47,True
公民科技生態系分析報告_v1.md,232,10 人（21%）,10,21.0,47,True
公民科技生態系分析報告_v1.md,234,15 人（32%）,15,32.0,47,True
公民科技生態系分析報告_整合版_v1.md,98,7 人（18%）,7,18.0,38,True
公民科技生態系分析報告_整合版_v1.md,108,7 人（15%）,7,15.0,47,True
公民科技生態系分析報告_整合版_v1.md,108,6 人（13%）,6,13.0,47,True
公民科技生態系分析報告_整合版_v1.md,108,5 人（11%）,5,11.0,47,True
公民科技生態系分析報告_整合版_v1.md,108,4 人（9%）,4,9.0,47,True
公民科技生態系分析報告_整合版_v1.md,215,19 人（40%）,19,40.0,47,True
公民科技生態系分析報告_整合版_v1.md,310,15 人（12%）,15,12.0,127,True
