報告位置,項目,數字,分子,分母,驗算式,來源欄位／表,篩選條件,信賴度
§1.2 年齡,31 到 40 歲,35.4%,45,127,45/127,你的年齡？,全體 N=127,L2
§1.2 年齡,41 到 50 歲,29.1%,37,127,37/127,你的年齡？,全體 N=127,L2
§1.2 年齡,21 到 30 歲,17.3%,22,127,22/127,你的年齡？,全體 N=127,L2
§1.2 年齡,51 歲以上,12.6%,16,127,16/127,你的年齡？,全體 N=127,L2
§1.2 年齡,20 歲以下,5.5%,7,127,7/127,你的年齡？,全體 N=127,L2
§1.2 性別,男,50.4%,64,127,64/127,你的性別？,全體 N=127,L2
§1.2 性別,女,40.9%,52,127,52/127,你的性別？,全體 N=127,L2
§1.2 性別,其他，或不願透露,8.7%,11,127,11/127,你的性別？,全體 N=127,L2
§1.2 身分,自由工作者,19.7%,25,127,25/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,非營利組織,19.7%,25,127,25/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,學校、研究機構,15.7%,20,127,20/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,企業、新創,15.7%,20,127,20/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,學生,13.4%,17,127,17/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,政府機構、公部門法人,7.9%,10,127,10/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,媒體或事實查核單位,3.9%,5,127,5/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,空間規劃行業,0.8%,1,127,1/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,帶小孩,0.8%,1,127,1/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,服務業,0.8%,1,127,1/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,退休,0.8%,1,127,1/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 身分,主要在中研院工作，但同時多方投入數位人權/公民科技專案,0.8%,1,127,1/127,你目前主要的身分或工作場域是？,全體 N=127,L2
§1.2 居住地,台北市,32.3%,41,127,41/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,新北市,30.7%,39,127,39/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,桃園市,8.7%,11,127,11/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,台中市,7.1%,9,127,9/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,北部其他（基隆、新竹市、新竹縣）,5.5%,7,127,7/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,台南市,4.7%,6,127,6/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,高雄市,3.9%,5,127,5/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,東部區域（宜蘭、花蓮、台東）,3.1%,4,127,4/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,中部區域（苗栗、彰化、南投、雲林）,2.4%,3,127,3/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,南部其他（嘉義市、嘉義縣、屏東）,1.6%,2,127,2/127,你目前居住在哪個區域？,全體 N=127,L2
§1.2 居住地,目前居住於海外,1.6%,2,127,2/127,你目前居住在哪個區域？,全體 N=127,L2
§1.3 g0v 活動,我沒參加過 g0v 的活動,48.4%,61,126,61/126,承上，你參加過哪些 g0v 活動？,有作答者,L2
§1.3 g0v 活動,g0v Summit（兩年一次的高峰會）,31.7%,40,126,40/126,承上，你參加過哪些 g0v 活動？,有作答者,L2
§1.3 g0v 活動,雙月大黑客松（大松）,30.2%,38,126,38/126,承上，你參加過哪些 g0v 活動？,有作答者,L2
§1.3 g0v 活動,各專案的小聚（例如國會松、數位韌性松）,26.2%,33,126,33/126,承上，你參加過哪些 g0v 活動？,有作答者,L2
§1.3 g0v 活動,零時小學校,11.1%,14,126,14/126,承上，你參加過哪些 g0v 活動？,有作答者,L2
§1.3 g0v 活動,2018年的g0v獎助金,0.8%,1,126,1/126,承上，你參加過哪些 g0v 活動？,有作答者,L2
§1.3 g0v 活動,我不記得,0.8%,1,126,1/126,承上，你參加過哪些 g0v 活動？,有作答者,L2
§3 角色廣度（勾選數）,1 個角色,45.5%,46,101,46/101,01_衍生變項.csv（衍生）,nan,L3
§3 角色廣度（勾選數）,2 個角色,19.8%,20,101,20/101,01_衍生變項.csv（衍生）,nan,L3
§3 角色廣度（勾選數）,3 個角色,11.9%,12,101,12/101,01_衍生變項.csv（衍生）,nan,L3
§3 角色廣度（勾選數）,4 個角色,10.9%,11,101,11/101,01_衍生變項.csv（衍生）,nan,L3
§3 角色廣度（勾選數）,5 個角色,9.9%,10,101,10/101,01_衍生變項.csv（衍生）,nan,L3
§3 最深角色,使用者,41.6%,42,101,42/101,01_衍生變項.csv（衍生）,nan,L3
§3 最深角色,出資者,16.8%,17,101,17/101,01_衍生變項.csv（衍生）,nan,L3
§3 最深角色,落地推廣,16.8%,17,101,17/101,01_衍生變項.csv（衍生）,nan,L3
§3 最深角色,發起者,14.9%,15,101,15/101,01_衍生變項.csv（衍生）,nan,L3
§3 最深角色,開發維護,7.9%,8,101,8/101,01_衍生變項.csv（衍生）,nan,L3
§3 參與深度,接收資訊,40.6%,41,101,41/101,01_衍生變項.csv（衍生）,nan,L3
§3 參與深度,主動通報,12.9%,13,101,13/101,01_衍生變項.csv（衍生）,nan,L3
§3 參與深度,協力參與,10.9%,11,101,11/101,01_衍生變項.csv（衍生）,nan,L3
§3 參與深度,共創解法,19.8%,20,101,20/101,01_衍生變項.csv（衍生）,nan,L3
§3 參與深度,發起專案,9.9%,10,101,10/101,01_衍生變項.csv（衍生）,nan,L3
§3 參與深度,以上都不太像我,5.9%,6,101,6/101,01_衍生變項.csv（衍生）,獨立類別，未給權重,L3
§3 決策位置,執行協力者,68.4%,65,95,65/95,01_衍生變項.csv（衍生）,nan,L3
§3 決策位置,方向決策者,31.6%,30,95,30/95,01_衍生變項.csv（衍生）,nan,L3
§3 投入強度（過去30天）,1 到 5 小時,31.9%,15,47,15/47,01_衍生變項.csv（衍生）,nan,L2
§3 投入強度（過去30天）,6 到 20 小時,23.4%,11,47,11/47,01_衍生變項.csv（衍生）,nan,L2
§3 投入強度（過去30天）,幾乎沒有,23.4%,11,47,11/47,01_衍生變項.csv（衍生）,nan,L2
§3 投入強度（過去30天）,21 小時以上,21.3%,10,47,10/47,01_衍生變項.csv（衍生）,nan,L2
§3 專案階段（合併）,早期（探索或開發中）,23.4%,11,47,11/47,01_衍生變項.csv（衍生）,nan,L2
§3 專案階段（合併）,落地,36.2%,17,47,17/47,01_衍生變項.csv（衍生）,nan,L2
